url_path,views_total,views_unique
/sayantikabanik/DataJourney,19,5
/sayantikabanik/DataJourney/blob/main/.github/workflows/test_wily.yml,10,1
/sayantikabanik/DataJourney/actions/runs/9595254327,9,1
/sayantikabanik/DataJourney/issues,9,1
/sayantikabanik/DataJourney/tree/main/analytics_framework/intake,9,1
/sayantikabanik/DataJourney/tree/main/analytics_framework,8,1
/sayantikabanik/DataJourney/tree/main/.github/workflows,8,1
/sayantikabanik/DataJourney/commits/main,7,1
/sayantikabanik/DataJourney/issues/new/choose,6,1
/sayantikabanik/DataJourney/issues/new,5,1
