time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-08 00:00:00+00:00,4,3,2.0,2.0
2024-12-09 00:00:00+00:00,5,3,12.0,4.0
2024-12-10 00:00:00+00:00,7,2,11.0,5.0
2024-12-11 00:00:00+00:00,11,4,39.0,1.0
2024-12-12 00:00:00+00:00,5,4,3.0,3.0
2024-12-13 00:00:00+00:00,6,4,4.0,2.0
2024-12-14 00:00:00+00:00,5,3,,
2024-12-15 00:00:00+00:00,6,3,,
2024-12-16 00:00:00+00:00,1,1,14.0,3.0
2024-12-17 00:00:00+00:00,1,1,117.0,84.0
2024-12-18 00:00:00+00:00,2,1,234.0,148.0
2024-12-19 00:00:00+00:00,7,7,39.0,33.0
2024-12-20 00:00:00+00:00,3,3,29.0,23.0
2024-12-21 00:00:00+00:00,5,3,29.0,12.0
