time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,5,3,22,1
2024-11-15 00:00:00+00:00,8,4,14,3
2024-11-16 00:00:00+00:00,4,3,4,2
2024-11-17 00:00:00+00:00,10,4,5,2
2024-11-18 00:00:00+00:00,9,4,50,7
2024-11-19 00:00:00+00:00,4,4,26,7
2024-11-20 00:00:00+00:00,4,2,9,2
2024-11-21 00:00:00+00:00,13,6,39,4
2024-11-22 00:00:00+00:00,3,3,3,2
2024-11-23 00:00:00+00:00,7,4,2,1
2024-11-24 00:00:00+00:00,4,3,2,1
2024-11-25 00:00:00+00:00,3,3,1,1
2024-11-26 00:00:00+00:00,25,6,81,3
2024-11-27 00:00:00+00:00,4,3,9,5
