url_path,views_total,views_unique
/sayantikabanik/DataJourney,54,4
/sayantikabanik/DataJourney/tree/main/.github,31,1
/sayantikabanik/DataJourney/tree/main/.github/workflows,30,1
/sayantikabanik/DataJourney/pulls,20,1
/sayantikabanik/DataJourney/blob/main/README.md,17,1
/sayantikabanik/DataJourney/pull/34,13,2
/sayantikabanik/DataJourney/actions/workflows/static.yml,12,1
/sayantikabanik/DataJourney/blob/main/.github/workflows/code-complexity-check.yml,12,1
/sayantikabanik/DataJourney/blob/main/.github/workflows/static.yml,12,1
/sayantikabanik/DataJourney/blob/main/.github/workflows/github-repo-stats.yml,10,1
