time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-30 00:00:00+00:00,36,14,73,5
2025-01-31 00:00:00+00:00,13,5,51,4
2025-02-01 00:00:00+00:00,13,6,2,2
2025-02-02 00:00:00+00:00,5,4,10,3
2025-02-03 00:00:00+00:00,11,7,21,4
2025-02-04 00:00:00+00:00,33,8,29,4
2025-02-05 00:00:00+00:00,10,6,9,3
2025-02-06 00:00:00+00:00,11,5,31,5
2025-02-07 00:00:00+00:00,8,5,5,4
2025-02-08 00:00:00+00:00,10,6,1,1
2025-02-09 00:00:00+00:00,9,5,2,1
2025-02-10 00:00:00+00:00,36,14,117,6
2025-02-11 00:00:00+00:00,8,4,4,2
