time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-04 00:00:00+00:00,6,4,,
2023-02-05 00:00:00+00:00,6,5,,
2023-02-06 00:00:00+00:00,9,5,,
2023-02-07 00:00:00+00:00,4,4,5.0,1.0
2023-02-08 00:00:00+00:00,4,4,6.0,2.0
2023-02-09 00:00:00+00:00,5,3,,
2023-02-10 00:00:00+00:00,7,5,7.0,1.0
2023-02-11 00:00:00+00:00,11,5,,
2023-02-12 00:00:00+00:00,5,4,4.0,1.0
2023-02-13 00:00:00+00:00,4,4,,
2023-02-14 00:00:00+00:00,2,2,,
2023-02-15 00:00:00+00:00,2,2,,
2023-02-16 00:00:00+00:00,12,5,,
2023-02-17 00:00:00+00:00,4,1,,
