url_path,views_total,views_unique
/sayantikabanik/DataJourney,67,9
/sayantikabanik/DataJourney/pull/53,18,6
/sayantikabanik/DataJourney/issues,18,1
/sayantikabanik/DataJourney/issues/new,12,1
/sayantikabanik/DataJourney/tree/main/.github/ISSUE_TEMPLATE,12,1
/sayantikabanik/DataJourney/blob/main/README.md,10,1
/sayantikabanik/DataJourney/tree/main/.github,8,2
/sayantikabanik/DataJourney/issues/new/choose,8,1
/sayantikabanik/DataJourney/pulls,6,2
/sayantikabanik/DataJourney/edit/main/README.md,6,1
